"Year","Quarter","USD","Euro","JPY","GBP","CAN","CNY","AUD","CHF","Other_Currencies","Unallocated_Reserves","Total","NA"
NA,"","USD","EUR","JPY","GBP","CAD","CNY","AUD","CHF","Othercurrencies","Unallocatedreserves","Total",NA
2019,"Q1","6,727.09","2,208.79","584.63","495.70","208.64","212.26","181.95","15.27","263.50","712.93","11,610.77",NA
2019,"Q2","6,752.28","2,264.88","611.87","497.41","209.85","212.80","186.71","15.53","270.56","715.88","11,737.76",NA
2019,"Q3","6,728.85","2,212.74","612.75","492.22","205.44","213.83","182.48","16.20","262.92","729.40","11,656.82",NA
2019,"Q4","6,674.83","2,279.30","631.00","511.51","206.71","215.81","187.18","17.36","281.50","749.55","11,824.74",NA
2020,"Q1","6,794.91","2,197.30","624.97","486.08","195.13","221.48","170.16","16.05","255.53","770.32","11,731.94",NA
2020,"Q2","6,902.01","2,272.44","643.70","504.36","215.47","233.68","190.34","17.22","278.67","754.11","12,011.98",NA
2020,"Q3","6,927.16","2,359.61","668.19","523.64","231.10","247.44","199.51","19.30","283.16","787.44","12,246.56",NA
2020,"Q4","6,990.97","2,526.41","715.35","561.39","246.57","271.60","216.87","20.74","314.63","841.14","12,705.67",NA
2021,"Q1","6,971.79","2,404.80","686.30","554.28","250.01","293.32","214.89","19.44","335.82","851.50","12,582.14",NA
2021,"Q2","7,070.33","2,458.88","672.20","560.90","270.01","314.81","218.44","23.13","357.57","865.83","12,812.12",NA
2021,"Q3","7,087.77","2,462.44","681.42","561.66","264.29","320.15","214.26","23.77","354.77","860.67","12,831.20",NA
2021,"Q4","7,087.14","2,486.88","671.77","576.22","286.93","336.10","218.02","24.51","362.96","886.73","12,937.27",NA
2022,"Q1","6,868.97","2,328.35","626.44","569.45","286.02","330.03","221.91","29.48","387.80","858.65","12,507.09",NA
2022,"Q2","6,645.02","2,187.63","572.65","538.73","275.75","308.22","209.14","27.63","358.62","858.26","11,981.65",NA
2022,"Q3","6,426.89","2,086.40","560.11","489.95","260.92","281.12","204.78","24.78","358.59","841.74","11,535.29",NA
2022,"Q4","6,460.21","2,252.06","608.17","543.11","262.62","287.81","217.08","25.31","383.64","877.79","11,917.81",NA
2023,"Q1","6,630.89","2,186.33","610.39","605.02","270.60","287.12","221.62","28.26","389.07","877.53","12,029.03",NA
2023,"Q2","6,641.89","2,207.25","597.15","533.64","278.51","272.99","219.70","21.26","403.72","887.06","12,055.26",NA
2023,"Q3","6,497.94","2,150.47","598.73","530.36","274.36","260.12","222.35","20.30","426.63","920.27","11,901.53",NA
2023,"Q4","6,687.11","2,287.57","652.90","553.91","295.25","261.73","241.78","26.38","442.77","883.06","12,332.46",NA
2024,"Q1","6,774.82","2,253.79","654.52","562.48","295.64","247.10","248.42","21.93","439.56","885.35","12,383.61",NA
2024,"Q2","6,675.82","2,265.29","641.07","565.92","306.85","245.17","256.45","22.43","486.89","881.90","12,347.42",NA
2024,"Q3","6,786.40","2,372.30","690.00","589.70","324.40","257.80","268.70","19.80","534.70","905.90","12,750.11",NA
2024,"Q4","6,631.30","2,275.90","667.10","542.40","317.90","249.60","235.90","19.70","532.80","892.10","12,364.11",NA
2025,"Q1","6,720.31","2,334.61","599.09","603.70","306.13","246.31","235.27","20.85","573.41","898.61","11,639.72",NA
2025,"Q2","6,773.33","2,540.42","670.07","580.23","313.82","255.37","250.93","19.54","621.70","919.30","12,944.76",NA
2025,"Q3","","","","","","","","","","","",NA
2025,"Q4","","","","","","","","","","","",NA
